username,password,job_type,city,tier
avinay,pass1,ride_hailing,Indore,tier_3
user2,pass2,grocery_delivery,Delhi,tier_1
user3,pass3,ride_hailing,Delhi,tier_1
user4,pass4,gig_marketplace,Hyderabad,tier_2
user5,pass5,ride_hailing,Patna,tier_3
user6,pass6,grocery_delivery,Pune,tier_2
user7,pass7,grocery_delivery,Indore,tier_3
user8,pass8,gig_marketplace,Mumbai,tier_1
user9,pass9,gig_marketplace,Pune,tier_2
user10,pass10,ride_hailing,Indore,tier_3
user11,pass11,gig_marketplace,Delhi,tier_1
user12,pass12,grocery_delivery,Delhi,tier_1
user13,pass13,ride_hailing,Bangalore,tier_1
user14,pass14,gig_marketplace,Mumbai,tier_1
user15,pass15,gig_marketplace,Delhi,tier_1
user16,pass16,gig_marketplace,Indore,tier_3
user17,pass17,food_delivery,Mumbai,tier_1
user18,pass18,food_delivery,Indore,tier_3
user19,pass19,grocery_delivery,Indore,tier_3
user20,pass20,food_delivery,Pune,tier_2
user21,pass21,gig_marketplace,Mumbai,tier_1
user22,pass22,gig_marketplace,Mumbai,tier_1
user23,pass23,gig_marketplace,Patna,tier_3
user24,pass24,gig_marketplace,Hyderabad,tier_2
user25,pass25,grocery_delivery,Pune,tier_2
user26,pass26,ride_hailing,Pune,tier_2
user27,pass27,gig_marketplace,Chennai,tier_2
user28,pass28,gig_marketplace,Patna,tier_3
user29,pass29,grocery_delivery,Indore,tier_3
user30,pass30,food_delivery,Bangalore,tier_1
